ARIN,AARTIIND
ABBL,ABB
ABOT,ABBOTINDIA
ABCL,ABCAPITAL
ABFR,ABFRL
ACCL,ACC
ADEL,ADANIENT
MPSL,ADANIPORTS
ALKM,ALKEM
ARBL,AMARAJABAT
AMBC,AMBUJACEM
AHEL,APOLLOHOSP
APLT,APOLLOTYRE
ALLD,ASHOKLEY
ASPL,ASIANPAINT
ASTR,ASTRAL
ATUL,ATUL
AUSF,AUBANK
AUPL,AUROPHARMA
AXIS,AXISBANK
BAJT,BAJAJ-AUTO
BAJF,BAJAJFINSV
BAFL,BAJFINANCE
BLKI,BALKRISIND
BAML,BALRAMCHIN
BDBK,BANDHANBNK
BOBL,BANKBARODA
BKNF,BANKNIFTY
BATA,BATAINDIA
BELL,BEL
BRGP,BERGEPAINT
BHFL,BHARATFORG
BHRT,BHARTIARTL
BHEL,BHEL
BIOC,BIOCON
BOSH,BOSCHLTD
BPCL,BPCL
BRIT,BRITANNIA
BSOT,BSOFT
CANB,CANBK
CFHL,CANFINHOME
CFCL,CHAMBLFERT
CIFL,CHOLAFIN
CIPL,CIPLA
COAL,COALINDIA
NIIT,COFORGE
COLG,COLPAL
CCOI,CONCOR
CORO,COROMANDEL
CGCL,CROMPTON
CUBL,CUB
CUML,CUMMINSIND
DABU,DABUR
DABL,DALBHARAT
DENP,DEEPAKNTR
DECL,DELTACORP
DIVI,DIVISLAB
DIXO,DIXON
DLFL,DLF
DRRL,DRREDDY
EMLD,EICHERMOT
ESCT,ESCORTS
EXID,EXIDEIND
FEDB,FEDERALBNK
NFIN,FINNIFTY
FSLD,FSL
GAIL,GAIL
GLPL,GLENMARK
GMRI,GMRINFRA
GNFC,GNFC
GCPL,GODREJCP
GPRL,GODREJPROP
GRAN,GRANULES
GRSM,GRASIM
GSPL,GSPL
GUGL,GUJGASLTD
HIAL,HAL
HAIL,HAVELLS
HCLT,HCLTECH
HDFC,HDFC
HAMC,HDFCAMC
HDBK,HDFCBANK
HDLF,HDFCLIFE
HERO,HEROMOTOCO
HNDL,HINDALCO
HIND,HINDCOPPER
HPCL,HINDPETRO
HULL,HINDUNILVR
HONA,HONAUT
IBHF,IBULHSGFIN
ICIC,ICICIBANK
ILGI,ICICIGI
ICLF,ICICIPRULI
IDEA,IDEA
IDFL,IDFC
IDBL,IDFCFIRSTB
IEEX,IEX
INGL,IGL
INDH,INDHOTEL
INCL,INDIACEM
IMIL,INDIAMART
INAL,INDIGO
IIBK,INDUSINDBK
INFR,INDUSTOWER
INFY,INFY
IDAL,INTELLECT
IOCL,IOC
IPCA,IPCALAB
IRCT,IRCTC
ITCL,ITC
JSPL,JINDALSTEL
JKCL,JKCEMENT
JSWL,JSWSTEEL
JBFW,JUBLFOOD
KOTB,KOTAKBANK
LNTF,L&TFH
LAPL,LALPATHLAB
LABS,LAURUSLABS
LICH,LICHSGFIN
LNTL,LT
LTIL,LTIM
LTTS,LTTS
LUPL,LUPIN
MNML,M&M
MFSL,M&MFIN
MANF,MANAPPURAM
MARI,MARICO
MARU,MARUTI
UNSL,MCDOWELL-N
MCXL,MCX
METR,METROPOLIS
MXFS,MFSL
MNGL,MGL
NMSI,MIDCPNIFTY
MIND,MINDTREE
MSSL,MOTHERSON
MPHS,MPHASIS
MRFL,MRF
MTFL,MUTHOOTFIN
NAMI,NAM-INDIA
NALC,NATIONALUM
NAUK,NAUKRI
NFIL,NAVINFLUOR
NESL,NESTLEIND
NFTY,NIFTY
NMDC,NMDC
NTPC,NTPC
OBRL,OBEROIRLTY
OFSS,OFSS
ONGC,ONGC
PAGE,PAGEIND
PREL,PEL
PESL,PERSISTENT
PLNG,PETRONET
PFCL,PFC
PIDI,PIDILITIND
PIND,PIIND
PNBK,PNB
POLY,POLYCAB
PGCL,POWERGRID
PVRL,PVR
RAIN,RAIN
RAMC,RAMCOCEM
RBLB,RBLBANK
RECL,RECLTD
RELI,RELIANCE
SAIL,SAIL
SCPL,SBICARD
SBLF,SBILIFE
SBIL,SBIN
SHCM,SHREECEM
SIEM,SIEMENS
SRFL,SRF
SHTF,SHRIRAMFIN
SUNP,SUNPHARMA
SUNT,SUNTV
SYNG,SYNGENE
TCHM,TATACHEM
TACL,TATACOMM
TGBL,TATACONSUM
TAMO,TATAMOTORS
TATP,TATAPOWER
TISC,TATASTEEL
TCSL,TCS
TECM,TECHM
TITA,TITAN
TRPL,TORNTPHARM
TORP,TORNTPOWER
TRNT,TRENT
TMCL,TVSMOTOR
UBRL,UBL
ULCL,ULTRACEMCO
UPHL,UPL
VEDL,VEDL
VOLT,VOLTAS
WOIL,WHIRLPOOL
WIPR,WIPRO
ZEEL,ZEEL
CADL,ZYDUSLIFE
